team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,defTotalCatchAllowed,defTotalDeflections,defTotalForcedFum,defTotalFumRec,defTotalInts,defTotalIntReturnYds,defTotalSacks,defTotalSafeties,defTotalTDs,defTotalTackles
Browns,CLE,4,CB,551027994,Christian Izien,4,0,0,29,13,58.00,0,6,3,1,5,143,0.00,0,1,28.00
Browns,CLE,4,LOLB,551029062,Drew Sanders,4,0,2382,41,13,27.00,0,6,0,1,0,0,3.00,0,0,21.00
Browns,CLE,4,CB,551028506,Ja'Quan McMillian,4,0,0,35,3,4.00,0,0,0,0,0,0,0.00,0,0,4.00
Browns,CLE,4,FS,551029150,JL Skinner,4,0,2394,39,4,5.00,0,4,0,0,1,5,0.00,0,0,2.00
Browns,CLE,4,DT,551027979,Siaki Ika,4,0,2599,62,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Browns,CLE,4,RE,551027800,Zach Harrison,4,0,2182,96,1,0.00,0,1,0,0,0,0,0.00,0,0,0.00
Browns,CLE,4,CB,551029314,Alontae Taylor,5,0,1969,1,8,24.00,0,3,0,0,4,294,0.00,0,0,12.00
Browns,CLE,4,CB,551028137,Jack Jones,5,0,1788,18,9,35.00,0,4,2,0,2,331,0.00,0,1,17.00
Browns,CLE,4,CB,551027923,Jaycee Horn,6,0,1352,8,12,28.00,0,8,0,0,4,91,0.00,0,1,10.00
Browns,CLE,4,SS,551029265,Geno Stone,7,7,590,25,7,13.00,0,1,0,0,1,0,0.00,0,0,10.00
Browns,CLE,4,MLB,551028901,Patrick Queen,7,0,538,6,13,45.00,0,5,2,1,4,18,0.50,0,0,26.00
Browns,CLE,4,ROLB,551029645,Quincy Williams,8,0,172,46,6,12.00,0,3,0,1,2,7,1.00,0,0,4.00
Browns,CLE,4,LE,551028928,Haason Reddick,10,0,8696,91,2,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Browns,CLE,4,LOLB,551028532,Matt Milano,10,0,8664,58,1,0.00,0,1,0,0,0,0,0.00,0,0,0.00
Browns,CLE,4,LOLB,551027841,Trey Hendrickson,10,0,8581,91,2,2.00,0,0,0,0,0,0,0.50,0,0,1.00
Browns,CLE,4,LE,551028283,DeMarcus Lawrence,13,0,6487,90,4,8.00,0,0,0,0,0,0,2.50,0,0,3.00
Buccaneers,TB,5,MLB,551029659,Juan Strickland,0,0,3761,2,12,50.00,14,0,0,1,2,356,0.50,0,1,37.00
Buccaneers,TB,5,ROLB,551028594,Nigel Durant,0,0,3938,95,10,24.00,0,2,0,0,0,0,4.50,0,0,15.00
Buccaneers,TB,5,CB,551028348,Titus Priestley,0,0,3830,39,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Buccaneers,TB,5,DT,551027610,Andrew Pryce,1,0,10350,99,6,12.00,0,0,0,0,0,0,2.50,0,0,7.00
